table_schema	table_name	row_count
public	vfolderhier	830
public	tableowners	2540
public	bqdatasets	7141
public	valrawfilelist	20617579
public	valrawbucketsize	68
public	vfolder_details_with_count	260
public	vfolderhier_details_with_counts	830
public	expfiles	4649444
public	prdrawfilelist	31514403
public	prdrawbucketcounts	66
public	unpartitionedtables	3088
public	bqadmins	757
public	testcase1	1
public	tblcsv_20230551028	59
public	valfiles	20617579
public	ourprojects	120
public	v_exprawbucket	108
public	v_valrawbucket	68
public	gcp_projects	3800
public	v_prdrawbucket	66
public	deleteactivity	59
public	prdfiles	470039
public	bqcolumns	10991
public	bqtables	86202
public	project_resource	15892
public	exprawbucketsize	108
public	gcsbuckets	4750323
public	projectbuckets	760
public	exprawfilelist	4649444
public	exprawbucketcounts	108
public	folder_details	260
public	prdrawbucketsize	66
public	consumefilelist	806
public	site_num	5113
public	valrawbucketcounts	68
